ab	Abhazca
ps	Afganca
de	Almanca
ar	Arapça
sq	Arnavutça
az	Azerice
eu	Baskça
bs	Boşnakça
bg	Bulgarca
chg	Çağatayca
ce	Çeçence
zh	Çince
da	Danca
hy	Ermenice
otk	Eski Türkçe
et	Estonca
fa	Farsça
fi	Fince
nl	Flamanca 
fr	Fransızca
gag	Gagavuzca
ka	Gürcüce
hr	Hırvatça
nld	Hollandaca
en	İngilizce
es	İspanyolca
sv	İsveççe
it	İtalyanca
is	İzlandaca 
ja	Japonca
krc	Karaçay Balkarca
kk	Kazakça
qwm Kumanca
crh	Kırım Tatarca
ko	Korece
ku	Kürtçe
la	Latince
pl	Lehçe
lt	Litvanca
mk	Makedonca
mi	Maorice
no	Norveççe
ota	Osmanlıca
uz	Özbekçe
pt	Portekizce
ro	Rumence
ru	Rusça
se	Sami (Kuzey)
sr	Sırpça
sl	Slovence
cjs	Şorca
tt	Tatarca
tr	Türkçe
tk	Türkmence
uk	Ukraynaca
ur	Urduca
ug	Uygurca
yo	Yorubaca
el	Yunanca
